id,name,description,address,suburb,locationType,type,lat,long,specialOffer,image,currentCapacity,ppe,artist,material,installDate
1,Lucky Cat Cafe,luckycatcafe.com.au,667 Ipswich Rd,ANNERLEY,business,Cafes,-27.518131,153.029086,10% discount on presentation of a seniors card.,,,,,,
2,1300 GET TINT,http://www.1300gettint.com.au,U 2 20 Spine St,CALOUNDRA,business,Window Tinting,-27.5652,152.9364,"We are pleased to offer 10% discount on all window tinting on homes, offices and vehicles.",,,,,,
3,1300SMILES,www.1300smiles.com.au,22 Minchinton St,MACKAY,business,Dentists,-26.8039,153.1318,10% off the gap amount for general dental services.,,,,,,
4,1300SMILES,www.1300smiles.com.au,34 Sydney St,BUNDABERG,business,Dentists,-21.1407,149.1868,10% off the gap amount for general dental services.,,,,,,
5,1300SMILES,www.1300smiles.com.au,Bundaberg Burnett Dental - 11 Barolin St,BUNDABERG,business,Dentists,-24.867,152.3489,10% off the gap amount for general dental services.,,,,,,
6,1300SMILES,www.1300smiles.com.au,Post Office Bldg - 155 Bourbong St,BURDELL,business,Dentists,-24.8659,152.3484,10% off the gap amount for general dental services.,,,,,,
7,1300SMILES,www.1300smiles.com.au,Northshore Medical Cnt - 50 Northshore Blvd,WARANA,business,Dentists,-19.254,146.703,10% off the gap amount for general dental services.,,,,,,
8,1300SMILES,www.1300smiles.com.au,179 Nicklin Way,WEST GLADSTONE,business,Dentists,-26.7192,153.1302,10% off the gap amount for general dental services.,,,,,,
9,1300SMILES,www.1300smiles.com.au,6 Barry St,TOWNSVILLE,business,Dentists,-23.8642,151.243,10% off the gap amount for general dental services.,,,,,,
10,1300SMILES,www.1300smiles.com.au,"89 Bundock St, Belgian Gardens",CAIRNS,business,Dentists,-19.2476,146.7926,10% off the gap amount for general dental services.,,,,,,
11,1300SMILES,www.1300smiles.com.au,Cairns Central Shp Cnt,CARINDALE,business,Dentists,-16.9247,145.7715,10% off the gap amount for general dental services.,,,,,,
12,1300SMILES,www.1300smiles.com.au,Medical Court - Westfield Shp Cnt,DOUGLAS,business,Dentists,-27.5032,153.1017,10% off the gap amount for general dental services.,,,,,,
13,1300SMILES,www.1300smiles.com.au,Medilink Retail Cnt - 100 Angus Smith Dr,PIMLICO,business,Dentists,-19.3205,146.762,10% off the gap amount for general dental services.,,,,,,
14,1300SMILES,www.1300smiles.com.au,49 Fulham Rd,ROCKHAMPTON,business,Dentists,-19.2888,146.7851,10% off the gap amount for general dental services.,,,,,,
15,1300SMILES,www.1300smiles.com.au,100 High St,SMITHFIELD,business,Dentists,-23.3591,150.5285,10% off the gap amount for general dental services.,,,,,,
16,1300SMILES,www.1300smiles.com.au,Smithfield Shp Cnt,SPRINGWOOD,business,Dentists,-16.8381,145.6893,10% off the gap amount for general dental services.,,,,,,
17,1300SMILES,www.1300smiles.com.au,Chatswood Central Shp Cnt - cnr Chatswood/Magellan Rds,STRATHPINE,business,Dentists,-33.6941,150.5758,10% off the gap amount for general dental services.,,,,,,
18,1300SMILES,www.1300smiles.com.au,Strathpine Square - 328 Gympie Rd,TOOWOOMBA,business,Dentists,-27.3062,152.9888,10% off the gap amount for general dental services.,,,,,,
19,1300SMILES,www.1300smiles.com.au,"362B Bridge St, Wilsonton",TOWNSVILLE,business,Dentists,-27.55,151.9454,10% off the gap amount for general dental services.,,,,,,
20,1300SMILES,www.1300smiles.com.au,Northtown - 1st Floor 280 Flinders St,RASMUSSEN,business,Dentists,-19.2593,146.8178,10% off the gap amount for general dental services.,,,,,,
21,1300SMILES,www.1300smiles.com.au,1199 Riverway Dr,DEERAGUN,business,Dentists,-19.3608,146.7315,10% off the gap amount for general dental services.,,,,,,
22,1300SMILES,www.1300smiles.com.au,Centro Woodlands Shp Cnt,TOWN OF 1770,business,Dentists,-19.2458,146.6757,10% off the gap amount for general dental services.,,,,,,
23,Lady Musgrave Cruises,www.lmcruises.com.au,1770 Marina - Captain Cook Dr,TOWN OF 1770,business,Cruises and Boat Charters,-24.1684,151.8817,$10 discount on Lady Musgrave Island day cruise on the 'Spirit of 1770'.,,,,,,
24,Lady Musgrave Cruises,www.lmcruises.com.au,1770 Marina - Captain Cook Dr,LOGAN,business,Holidays and Tours,-24.1684,151.8817,$10 discount on Lady Musgrave Island day cruise on the 'Spirit of 1770'.,,,,,,
25,1st Choice Group (Aust) Pty Ltd (Elect Lic 35130),,Mobile Service,,business,Electricians,-36.6278,143.4839,10% discount on materials and 10% discount on labour.,,,,,,
26,1st Solution Home Services,http://www.1stsolution.com.au,Mobile Business,ALEXANDRA HILLS,business,Cleaning Products and Services,-27.7812,153.1413,15% discount on carpet cleaning or pest control.,,,,,,
27,2 shots espresso,www.2shots.com.au,Alexandra Hills Shp Cnt,PALM BEACH,business,Cafes,-27.5241,153.2216,10% off full price.,,,,,,
28,23rd Avenue Chempro Chemist,www.chempro.com.au,cnr Townson Ave/Mawarra St,CAIRNS,business,Pharmacies,-33.5964,151.325,10% discount excluding prescriptions and specials.,,,,,,
29,3060 Cafe,,Shop 13 71-73 Esplanade,UPPER MOUNT GRAVATT,business,Cafes,-16.915,145.7728,20% discount on your total bill.,,,,,,
30,360 Degree Wealth Services,http://www.360degreewealth.com.au,U 28 56 Sanders St,HERBERTON,business,Financial Services,-27.5585,153.0827,Free 1 hour initial consultation and 10% discount for the initial financial plan fee.,,,,,,
31,5 Star Handimarket,,53 Grace St,ORMEAU,business,Supermarkets and Grocery Stores,-17.3839,145.3853,5% discount. Excludes specials and tobacco products.,,,,,,
32,5150 Studios,www.5150Studios.com.au,21 Rockwood Dr,BRENDALE,business,Website Services,-27.7738,153.2642,Present card for 10% off website design portion.,,,,,,
33,66fit,http://www.66fit.com.au,U 16 50-52 Kremzow Rd,MAROOCHYDORE,business,Sports Stores,-27.3163,152.9733,10% off all retail prices - In store only.,,,,,,
34,7 Day Chemist,http://www.7daychemist.com.au,150 Horton Pde,PALM BEACH,business,Naturopaths,-26.6555,153.0911,10% discount to all senior cardholders.,,,,,,
35,8th Avenue Physiotherapy Clinic,www.8thavephysio.com.au,Shop 6 Eighth Ave,BEENLEIGH & SURROUNDING AREAS,business,Physiotherapists,-28.1188,153.4704,Initial consultation $70. Standard consultation $59.,,,,,,
36,A & B Fridge Repairs,,Mobile Service,BRISBANE - NORTHERN SUBURBS,business,Refrigeration Sales and Services,-27.7812,153.1413,10% off service calls for guaranteed work in your home.,,,,,,
37,A & B Fridge Repairs,,Mobile Service,BRISBANE - SOUTHERN SUBURBS,business,Refrigeration Sales and Services,-27.47,153.0795,10% off service calls for guaranteed work in your home.,,,,,,
38,A & B Fridge Repairs,,Mobile Service,LOGAN & SURROUNDING AREAS,business,Refrigeration Sales and Services,-27.47,153.0795,10% off service calls for guaranteed work in your home.,,,,,,
39,A & B Fridge Repairs,,Mobile Service,GOLD COAST AREA,business,Refrigeration Sales and Services,-27.6462,153.1094,10% off service calls for guaranteed work in your home.,,,,,,
40,A & K Lievesley Electrical and Solar (Elect Lic 70710),http://www.akelectrical.com.au/,Mobile Service,AYR,business,Electricians,-27.9617,153.3654,10% discount on service call. 10% off labour.,,,,,,
41,A & L Seafoods,,Burdekin Centre Point,SARINA,business,Butchers,-19.5746,147.4073,10% discount on all seafood products.,,,,,,
42,A & M Parts & Auto Repairs,,38-40 Central St,SEVENTEEN MILE ROCKS,business,Repairs and Servicing,-21.4235,149.2142,10% discount on parts. Excludes specials.,,,,,,
43,A & W Kitchens (QBCC Act Lic 73022),www.awkitchens.com.au,U 3 17 Benronalds St,,business,"Bathrooms, Kitchens and Laundries",-27.54,152.9578,10% off all domestic cabinet works.,,,,,,
44,A Beautiful Ceremony,www.sites.google.com/site/gcudmore/,,BLI BLI,business,Celebrants,,,"25% discount on all marriage, naming and funeral services in Brisbane and Redlands area.",,,,,,
45,A Better Pool & Spa,,23 Hudson Pl,LAIDLEY,business,Pools and Spas,-26.6091,153.0376,"10% off all chemicals, equipment repairs and labour.",,,,,,
46,A Better TV Picture,,Mobile Service,STAFFORD,business,TV Antennas,-27.6411,152.4107,Free TV tuning with antenna installation.,,,,,,
47,A Phillips Electrical,,37 Barbigal St,BRISBANE - ALL AREAS,business,Electricians,-27.4028,153.012,Offering a 10% discount on presentation of the Seniors Card.,,,,,,
48,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,BRISBANE - ALL AREAS,business,Cleaning Products and Services,-27.466,153.0239,"10% off pest control, carpet and upholstery cleaning.",,,,,,
49,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,IPSWICH AREA,business,Pest and Termite Control and Inspections,-27.466,153.0239,"10% off pest control, carpet and upholstery cleaning.",,,,,,
50,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,IPSWICH AREA,business,Cleaning Products and Services,-27.6193,152.7559,"10% off pest control, carpet and upholstery cleaning.",,,,,,
51,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,CHINCHILLA,business,Pest and Termite Control and Inspections,-27.6193,152.7559,"10% off pest control, carpet and upholstery cleaning.",,,,,,
52,A R Treasure (QBCC Act Lic 13610),www.homeimprovementpages.com.au/connect/ar_treasure/,70A Oak St,CHINCHILLA,business,Home Renovations,-26.7379,150.6383,"10% discount on wall cladding, re-roofing, windows, awnings and patios.",,,,,,
53,A R Treasure (QBCC Act Lic 13610),www.homeimprovementpages.com.au/connect/ar_treasure/,70A Oak St,BONGAREE,business,Roofing and Guttering,-26.7379,150.6383,"10% discount on wall cladding, re-roofing, windows, awnings and patios.",,,,,,
54,A Touch of Class Ceremonies,,,EVERTON PARK,business,Celebrants,-27.0798,153.1641,"33.3% discount on all fees - weddings, vow renewals, namings and MC.",,,,,,
55,A Trusted Pest Management Specialist (QBCC Act Lic 1074650),www.trustedpm.com.au,U 4 508 South Pine Rd,YORKEYS KNOB,business,Pest and Termite Control and Inspections,-27.4074,152.9905,10% off all general pest services and termite inspections on presentation of card. 5% off building and pest inspections on presentation of card.,,,,,,
56,A Villa Gail,www.avillagail.com,36 Janett St,BUNDABERG,business,Accommodation - B and B,-16.8021,145.722,10% off rooms and complimentary bottle of wine.,,,,,,
57,A Working Body,,Boston St,BURLEIGH HEADS,business,Massage,-24.8852,152.3544,15% discount on all massage sessions.,,,,,,
58,A1 Awnings,www.sunwiseblinds.com.au,68 Kortum Dr,MERMAID WATERS,business,Blinds and Awnings,-28.1025,153.4331,5% off all services.,,,,,,
59,A1 Discreet Hearing Aids,http://www.discreethearing.com.au,Q Super Centre - Shop A4 Cnr Bermuda & Markeri Sts,BRENDALE,business,Hearing Products and Services,-28.0476,153.407,A1 Discreet Hearing Aids offer a $300.00 discount per pair of hearing aids to Senior cardholders and a free reprogramming service.,,,,,,
60,A1 Exhausts,www.a1exhausts.com.au,Ultimate Performance Exhausts - 349 South Pine Rd,BUNDABERG,business,"Brakes, Exhausts, Steering and Suspension",-27.3238,152.9782,10% off parts and labour. Enquire in store.,,,,,,
61,A1 Exhausts,www.a1exhausts.com.au,A Plus Exhausts & Mechanical - 9 Steptoe St,CABOOLTURE,business,"Brakes, Exhausts, Steering and Suspension",-24.8649,152.3756,10% off parts and labour. Enquire in store.,,,,,,
62,A1 Exhausts,www.a1exhausts.com.au,Caboolture Exhaust & Mechanical - 52 Beerburrum Rd,CAIRNS,business,"Brakes, Exhausts, Steering and Suspension",-27.0788,152.9506,10% off parts and labour. Enquire in store.,,,,,,
63,A1 Exhausts,www.a1exhausts.com.au,"Tuff Muff Exhausts - 287 Mulgrave Rd, Westcourt",CAPALABA,business,"Brakes, Exhausts, Steering and Suspension",-16.9357,145.7542,10% off parts and labour. Enquire in store.,,,,,,
64,A1 Exhausts,www.a1exhausts.com.au,Anything Racing - Shop 1 27 Smith St,CHINCHILLA,business,"Brakes, Exhausts, Steering and Suspension",-27.5297,153.1993,10% off parts and labour. Enquire in store.,,,,,,
65,A1 Exhausts,www.a1exhausts.com.au,The Workshop - 21 Railway St,GOONDIWINDI,business,"Brakes, Exhausts, Steering and Suspension",-27.6291,152.3964,10% off parts and labour. Enquire in store.,,,,,,
66,A1 Exhausts,www.a1exhausts.com.au,10 Pharlap Ct,HERVEY BAY,business,"Brakes, Exhausts, Steering and Suspension",-28.5481,150.3191,10% off parts and labour. Enquire in store.,,,,,,
